TABLE NO.  2
 ID          CE          G11         H11         DV          PRED        RES         WRES
  1.0000E+00  1.0000E-04  2.7220E-03  1.0000E+00  8.5057E+01  7.9054E+01  6.0032E+00  2.2050E+00
  1.0000E+00  1.0000E-04  2.7220E-03  1.0000E+00  7.9247E+01  7.9054E+01  1.9321E-01  7.1014E-02
  1.0000E+00  1.0000E-04  2.7220E-03  1.0000E+00  7.7711E+01  7.9054E+01 -1.3428E+00 -4.9315E-01
  1.0000E+00  1.0000E-03  2.7203E-02  1.0000E+00  7.8118E+01  7.9031E+01 -9.1332E-01 -3.3498E-01
  1.0000E+00  1.0000E-03  2.7203E-02  1.0000E+00  8.2290E+01  7.9031E+01  3.2587E+00  1.1974E+00
  1.0000E+00  1.0000E-03  2.7203E-02  1.0000E+00  8.3462E+01  7.9031E+01  4.4307E+00  1.6278E+00
  1.0000E+00  1.0000E-02  2.7035E-01  1.0000E+00  7.7741E+01  7.8807E+01 -1.0664E+00 -3.8693E-01
  1.0000E+00  1.0000E-02  2.7035E-01  1.0000E+00  7.7432E+01  7.8807E+01 -1.3754E+00 -5.0043E-01
  1.0000E+00  1.0000E-02  2.7035E-01  1.0000E+00  7.9374E+01  7.8807E+01  5.6663E-01  2.1285E-01
  1.0000E+00  1.0000E-01  2.5440E+00  1.0000E+00  7.8592E+01  7.6636E+01  1.9562E+00  7.6330E-01
  1.0000E+00  1.0000E-01  2.5440E+00  1.0000E+00  7.4630E+01  7.6636E+01 -2.0058E+00 -6.9191E-01
  1.0000E+00  1.0000E-01  2.5440E+00  1.0000E+00  7.3497E+01  7.6636E+01 -3.1388E+00 -1.1081E+00
  1.0000E+00  1.0000E+00  1.5063E+01  1.0000E+00  6.0019E+01  6.0080E+01 -6.1277E-02  2.5284E-01
  1.0000E+00  1.0000E+00  1.5063E+01  1.0000E+00  5.9017E+01  6.0080E+01 -1.0633E+00 -1.1519E-01
  1.0000E+00  1.0000E+00  1.5063E+01  1.0000E+00  5.7609E+01  6.0080E+01 -2.4713E+00 -6.3234E-01
